ts,token_index,word,action,strategy,segments,tags,subtypes,codes
2026-03-06T22:01:59,0,taklif,save,primary,taklif,STEM,,0.0.0
2026-03-06T22:02:01,1,havola,save,primary,havola,STEM,,0.0.0
2026-03-06T22:04:44,2,elementidan,save,manual,element|i|dan,STEM|POSSESSIVE|CASE,|P3SG|ABL,0.0.0|2.2.2|3.3.3
2026-03-06T22:04:47,3,yuborishaudioni,delete,primary,yuborishaudio|ni,STEM|CASE,|ACC,0.0.0|3.3.3
2026-03-06T22:04:49,4,tinglashhujjat,delete,primary,tinglashhujjat,STEM,,0.0.0
2026-03-06T22:04:51,5,va,delete,primary,va,STEM,,0.0.0
2026-03-06T22:04:53,6,bilan,save,primary,bilan,STEM,,0.0.0
2026-03-06T22:05:02,7,hujjatga,save,primary,hujjat|ga,STEM|CASE,|DAT,0.0.0|3.3.3
2026-03-06T22:05:09,8,yoki,delete,manual,yok|i,STEM|POSSESSIVE,|P3SG,0.0.0|2.2.2
2026-03-06T22:05:11,9,oʻzbekiston,save,primary,oʻzbekiston,STEM,,0.0.0
2026-03-06T22:05:13,10,uchun,save,primary,uchun,STEM,,0.0.0
2026-03-06T22:05:29,11,respublikasi,save,primary,respublika|si,STEM|POSSESSIVE,|P3SG,0.0.0|2.2.2
2026-03-06T22:05:33,12,qilish,save,primary,qilish,STEM,,0.0.0
2026-03-06T22:05:51,13,tahrirga,save,primary,tahrir|ga,STEM|CASE,|DAT,0.0.0|3.3.3
2026-03-06T22:05:54,14,davlat,save,primary,davlat,STEM,,0.0.0
2026-03-06T22:05:56,15,olishhujjatga,delete,primary,olishhujjat|ga,STEM|CASE,|DAT,0.0.0|3.3.3
2026-03-06T22:06:01,16,boʻyicha,save,primary,boʻyicha,STEM,,0.0.0
2026-03-06T22:25:28,0,taklif,update,primary,taklif,STEM,,0.0.0
2026-03-06T22:25:29,1,havola,update,primary,havola,STEM,,0.0.0
2026-03-06T22:25:33,2,elementidan,update,primary,element|i|dan,STEM|POSSESSIVE|CASE,|P3SG|ABL,0.0.0|2.2.2|3.3.3
2026-03-06T22:25:40,3,yuborishaudioni,delete,primary,yuborishaudio|ni,STEM|CASE,|ACC,0.0.0|3.3.3
2026-03-06T22:25:43,4,tinglashhujjat,delete,primary,tinglashhujjat,STEM,,0.0.0
2026-03-06T22:25:45,5,va,update,primary,va,STEM,,0.0.0
2026-03-06T22:25:51,6,bilan,update,primary,bilan,STEM,,0.0.0
2026-03-06T22:25:54,7,hujjatga,update,primary,hujjat|ga,STEM|CASE,|DAT,0.0.0|3.3.3
2026-03-06T22:25:56,8,yoki,delete,primary,yok|i,STEM|POSSESSIVE,|P3SG,0.0.0|2.2.2
2026-03-06T22:25:59,9,oʻzbekiston,update,primary,oʻzbekiston,STEM,,0.0.0
2026-03-06T22:26:00,10,uchun,update,primary,uchun,STEM,,0.0.0
2026-03-06T22:26:03,11,respublikasi,update,primary,respublika|si,STEM|POSSESSIVE,|P3SG,0.0.0|2.2.2
2026-03-06T22:26:09,12,qilish,update,primary,qilish,STEM,,0.0.0
2026-03-06T22:26:11,13,tahrirga,update,primary,tahrir|ga,STEM|CASE,|DAT,0.0.0|3.3.3
